259.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135791|1743135796.26661|1743346751.4662466
260.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135791|1743135796.26661|1743346751.4662466
261.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135791|1743135794.6124334|1743346751.4662466
262.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135791|1743135794.6124334|1743346751.4662466
263.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135791|1743135794.6124334|1743346751.4662466
264.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135792|1743135796.26661|1743346751.4662466
265.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135792|1743135794.6124334|1743346751.4662466
266.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135792|1743135793.5913765|1743346751.4662466
267.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135792|1743135796.26661|1743346751.4662466
268.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135792|1743135793.5913765|1743346751.4662466
269.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135792|1743135796.26661|1743346751.4662466
270.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135798|1743135803.2002156|1743346751.4662466
271.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135798|1743135802.1816692|1743346751.4662466
272.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135798|1743135803.2002156|1743346751.4662466
273.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135799|1743135803.2002156|1743346751.4662466
274.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135799|1743135807.1138697|1743346751.4662466
275.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135799|1743135803.2002156|1743346751.4662466
276.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135799|1743135804.537257|1743346751.4662466
277.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135799|1743135803.2002156|1743346751.4662466
278.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135799|1743135804.537257|1743346751.4662466
279.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135800|1743135804.537257|1743346751.4662466
280.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135800|1743135804.537257|1743346751.4662466
281.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135807|1743135809.4067202|1743346751.4662466
282.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135807|1743135812.4074008|1743346751.4662466
283.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135807|1743135810.7527492|1743346751.4662466
284.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135807|1743135810.7527492|1743346751.4662466
285.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135807|1743135812.4074008|1743346751.4662466
286.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135807|1743135809.4067202|1743346751.4662466
287.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135807|1743135812.4074008|1743346751.4662466
288.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135808|1743135812.4074008|1743346751.4662466
289.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135808|1743135810.7527492|1743346751.4662466
290.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135808|1743135810.7527492|1743346751.4662466
291.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135813|1743135817.971578|1743346751.4662466
292.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135813|1743135817.971578|1743346751.4662466
293.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135813|1743135816.9528782|1743346751.4662466
294.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135813|1743135817.971578|1743346751.4662466
295.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135815|1743135819.3249035|1743346751.4662466
296.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135815|1743135819.3249035|1743346751.4662466
297.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135815|1743135821.564845|1743346751.4662466
298.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135815|1743135819.3249035|1743346751.4662466
299.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135815|1743135819.3249035|1743346751.4662466
300.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135838|1743135842.6385124|1743346751.4662466
301.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135838|1743135843.9782894|1743346751.4662466
302.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135838|1743135841.618647|1743346751.4662466
303.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135838|1743135842.6385124|1743346751.4662466
304.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135838|1743135843.9782894|1743346751.4662466
305.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135838|1743135842.6385124|1743346751.4662466
306.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135838|1743135842.6385124|1743346751.4662466
307.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135838|1743135842.6385124|1743346751.4662466
308.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135838|1743135843.9782894|1743346751.4662466
309.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135838|1743135843.9782894|1743346751.4662466
310.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135839|1743135843.9782894|1743346751.4662466
311.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135853|1743135856.268818|1743346751.4662466
312.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135853|1743135858.946136|1743346751.4662466
313.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135853|1743135856.268818|1743346751.4662466
314.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135853|1743135857.2884274|1743346751.4662466
315.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135853|1743135857.2884274|1743346751.4662466
316.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135853|1743135857.2884274|1743346751.4662466
317.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135853|1743135857.2884274|1743346751.4662466
318.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135853|1743135858.946136|1743346751.4662466
319.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135854|1743135857.2884274|1743346751.4662466
320.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135854|1743135858.946136|1743346751.4662466
321.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135854|1743135858.946136|1743346751.4662466
322.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135875|1743135881.6152482|1743346751.4662466
323.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135875|1743135880.5957735|1743346751.4662466
324.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135875|1743135880.5957735|1743346751.4662466
325.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135875|1743135880.5957735|1743346751.4662466
326.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135875|1743135879.5736349|1743346751.4662466
327.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135876|1743135880.5957735|1743346751.4662466
328.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
329.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
330.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
331.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
332.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
333.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
334.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
335.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
336.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
337.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
338.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
339.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
